date,loan_unscaled,loan_monthly,isPartial,scale,loan
2006-07-11,70,79.0,,0.79,55.300000000000004
2006-07-12,79,79.0,,0.79,62.410000000000004
2006-07-13,71,79.0,,0.79,56.09
2006-07-14,85,79.0,,0.79,67.15
2006-07-15,63,79.0,,0.79,49.77
2006-07-16,66,79.0,,0.79,52.14
2006-07-17,84,79.0,,0.79,66.36
2006-07-18,87,79.0,,0.79,68.73
2006-07-19,76,79.0,,0.79,60.040000000000006
2006-07-20,70,79.0,,0.79,55.300000000000004
2006-07-21,67,79.0,,0.79,52.93
2006-07-22,73,79.0,,0.79,57.67
2006-07-23,49,79.0,,0.79,38.71
2006-07-24,85,79.0,,0.79,67.15
2006-07-25,87,79.0,,0.79,68.73
2006-07-26,78,79.0,,0.79,61.620000000000005
2006-07-27,77,79.0,,0.79,60.830000000000005
2006-07-28,64,79.0,,0.79,50.56
2006-07-29,69,79.0,,0.79,54.510000000000005
2006-07-30,63,79.0,,0.79,49.77
2006-07-31,80,79.0,,0.79,63.2
2006-08-01,94,78.0,False,0.78,73.32000000000001
2006-08-02,100,78.0,,0.78,78.0
2006-08-03,79,78.0,,0.78,61.620000000000005
2006-08-04,91,78.0,,0.78,70.98
2006-08-05,74,78.0,,0.78,57.72
2006-08-06,67,78.0,,0.78,52.260000000000005
2006-08-07,93,78.0,,0.78,72.54
2006-08-08,90,78.0,,0.78,70.2
2006-08-09,91,78.0,,0.78,70.98
2006-08-10,86,78.0,,0.78,67.08
2006-08-11,90,78.0,,0.78,70.2
