date,bankruptcy court_unscaled,bankruptcy court_monthly,isPartial,scale,bankruptcy court
2006-03-04,24,24,False,0.24,5.76
2006-03-05,12,12,False,0.12,1.44
2006-03-06,47,47,False,0.47,22.09
2006-03-07,23,23,False,0.23,5.29
2006-03-08,92,92,False,0.92,84.64
2006-03-09,23,23,False,0.23,5.29
2006-03-10,33,33,False,0.33,10.89
2006-03-11,0,0,False,0.0,0.0
2006-03-12,0,0,False,0.0,0.0
2006-03-13,39,39,False,0.39,15.21
2006-03-14,39,39,False,0.39,15.21
2006-03-15,55,55,False,0.55,30.250000000000004
2006-03-16,56,56,False,0.56,31.360000000000003
2006-03-17,34,34,False,0.34,11.56
2006-03-18,12,12,False,0.12,1.44
2006-03-19,12,12,False,0.12,1.44
2006-03-20,31,31,False,0.31,9.61
2006-03-21,30,30,False,0.3,9.0
2006-03-22,15,15,False,0.15,2.25
2006-03-23,100,100,False,1.0,100.0
2006-03-24,49,49,False,0.49,24.009999999999998
2006-03-25,24,24,False,0.24,5.76
2006-03-26,12,12,False,0.12,1.44
2006-03-27,38,38,False,0.38,14.44
2006-03-28,53,53,False,0.53,28.09
2006-03-29,46,46,False,0.46,21.16
2006-03-30,32,32,False,0.32,10.24
2006-03-31,8,8,False,0.08,0.64
2006-04-01,20,20,False,0.2,4.0
2006-04-02,40,40,False,0.4,16.0
2006-04-03,75,75,False,0.75,56.25
2006-04-04,60,60,False,0.6,36.0
2006-04-05,37,37,False,0.37,13.69
2006-04-06,38,38,False,0.38,14.44
2006-04-07,54,54,False,0.54,29.160000000000004
2006-04-08,0,0,False,0.0,0.0
2006-04-09,20,20,False,0.2,4.0
2006-04-10,100,100,False,1.0,100.0
2006-04-11,49,49,False,0.49,24.009999999999998
2006-04-12,62,62,False,0.62,38.44
2006-04-13,26,26,False,0.26,6.76
2006-04-14,59,59,False,0.59,34.809999999999995
2006-04-15,42,42,False,0.42,17.64
2006-04-16,0,0,False,0.0,0.0
2006-04-17,75,75,False,0.75,56.25
2006-04-18,74,74,False,0.74,54.76
2006-04-19,87,87,False,0.87,75.69
2006-04-20,87,87,False,0.87,75.69
2006-04-21,40,40,False,0.4,16.0
2006-04-22,0,0,False,0.0,0.0
2006-04-23,0,0,False,0.0,0.0
2006-04-24,60,60,False,0.6,36.0
2006-04-25,47,47,False,0.47,22.09
2006-04-26,24,24,False,0.24,5.76
2006-04-27,37,37,False,0.37,13.69
2006-04-28,40,40,False,0.4,16.0
2006-04-29,0,0,False,0.0,0.0
2006-04-30,0,0,False,0.0,0.0
2006-05-01,69,69,False,0.69,47.61
2006-05-02,19,19,False,0.19,3.61
2006-05-03,59,59,False,0.59,34.809999999999995
2006-05-04,100,100,False,1.0,100.0
2006-05-05,0,0,False,0.0,0.0
2006-05-06,67,67,False,0.67,44.89
2006-05-07,33,33,False,0.33,10.89
2006-05-08,68,68,False,0.68,46.24
2006-05-09,49,49,False,0.49,24.009999999999998
2006-05-10,88,88,False,0.88,77.44
2006-05-11,60,60,False,0.6,36.0
2006-05-12,44,44,False,0.44,19.36
2006-05-13,0,0,False,0.0,0.0
2006-05-14,33,33,False,0.33,10.89
2006-05-15,70,70,False,0.7,49.0
2006-05-16,49,49,False,0.49,24.009999999999998
2006-05-17,20,20,False,0.2,4.0
2006-05-18,40,40,False,0.4,16.0
2006-05-19,65,65,False,0.65,42.25
2006-05-20,17,17,False,0.17,2.89
2006-05-21,17,17,False,0.17,2.89
2006-05-22,40,40,False,0.4,16.0
2006-05-23,40,40,False,0.4,16.0
2006-05-24,20,20,False,0.2,4.0
2006-05-25,72,72,False,0.72,51.839999999999996
2006-05-26,34,34,False,0.34,11.56
2006-05-27,18,18,False,0.18,3.2399999999999998
2006-05-28,0,0,False,0.0,0.0
2006-05-29,0,0,False,0.0,0.0
2006-05-30,41,41,False,0.41,16.81
2006-05-31,41,41,False,0.41,16.81
2006-06-01,54,54,False,0.54,29.160000000000004
2006-06-02,100,100,False,1.0,100.0
2006-06-03,0,0,False,0.0,0.0
2006-06-04,0,0,False,0.0,0.0
2006-06-05,80,80,False,0.8,64.0
2006-06-06,92,92,False,0.92,84.64
2006-06-07,13,13,False,0.13,1.69
2006-06-08,41,41,False,0.41,16.81
2006-06-09,72,72,False,0.72,51.839999999999996
2006-06-10,0,0,False,0.0,0.0
2006-06-11,67,67,False,0.67,44.89
2006-06-12,67,67,False,0.67,44.89
2006-06-13,80,80,False,0.8,64.0
2006-06-14,41,41,False,0.41,16.81
2006-06-15,98,98,False,0.98,96.03999999999999
2006-06-16,30,30,False,0.3,9.0
2006-06-17,46,46,False,0.46,21.16
2006-06-18,0,0,False,0.0,0.0
2006-06-19,42,42,False,0.42,17.64
2006-06-20,54,54,False,0.54,29.160000000000004
2006-06-21,70,70,False,0.7,49.0
2006-06-22,97,97,False,0.97,94.09
2006-06-23,58,58,False,0.58,33.64
2006-06-24,22,22,False,0.22,4.84
2006-06-25,43,43,False,0.43,18.49
2006-06-26,26,26,False,0.26,6.76
2006-06-27,65,65,False,0.65,42.25
2006-06-28,13,13,False,0.13,1.69
2006-06-29,41,41,False,0.41,16.81
2006-06-30,44,44,False,0.44,19.36
2006-07-01,18,18,False,0.18,3.2399999999999998
2006-07-02,19,19,False,0.19,3.61
2006-07-03,65,65,False,0.65,42.25
2006-07-04,0,0,False,0.0,0.0
2006-07-05,90,90,False,0.9,81.0
2006-07-06,63,63,False,0.63,39.69
2006-07-07,100,100,False,1.0,100.0
2006-07-08,82,82,False,0.82,67.24
2006-07-09,34,34,False,0.34,11.56
2006-07-10,52,52,False,0.52,27.04
2006-07-11,30,30,False,0.3,9.0
2006-07-12,41,41,False,0.41,16.81
2006-07-13,52,52,False,0.52,27.04
2006-07-14,22,22,False,0.22,4.84
2006-07-15,16,16,False,0.16,2.56
2006-07-16,17,17,False,0.17,2.89
2006-07-17,51,51,False,0.51,26.01
2006-07-18,10,10,False,0.1,1.0
2006-07-19,31,31,False,0.31,9.61
2006-07-20,73,73,False,0.73,53.29
2006-07-21,11,11,False,0.11,1.21
2006-07-22,0,0,False,0.0,0.0
2006-07-23,16,16,False,0.16,2.56
2006-07-24,40,40,False,0.4,16.0
2006-07-25,70,70,False,0.7,49.0
2006-07-26,51,51,False,0.51,26.01
2006-07-27,51,51,False,0.51,26.01
2006-07-28,43,43,False,0.43,18.49
2006-07-29,16,16,False,0.16,2.56
2006-07-30,0,0,False,0.0,0.0
2006-07-31,30,30,False,0.3,9.0
2006-08-01,68,68,False,0.68,46.24
2006-08-02,79,79,False,0.79,62.410000000000004
2006-08-03,93,93,False,0.93,86.49000000000001
2006-08-04,75,75,False,0.75,56.25
2006-08-05,18,18,False,0.18,3.2399999999999998
2006-08-06,19,19,False,0.19,3.61
2006-08-07,57,57,False,0.57,32.489999999999995
2006-08-08,90,90,False,0.9,81.0
2006-08-09,68,68,False,0.68,46.24
2006-08-10,68,68,False,0.68,46.24
2006-08-11,49,49,False,0.49,24.009999999999998
2006-08-12,18,18,False,0.18,3.2399999999999998
2006-08-13,75,75,False,0.75,56.25
2006-08-14,57,57,False,0.57,32.489999999999995
2006-08-15,22,22,False,0.22,4.84
2006-08-16,46,46,False,0.46,21.16
2006-08-17,70,70,False,0.7,49.0
2006-08-18,37,37,False,0.37,13.69
2006-08-19,0,0,False,0.0,0.0
2006-08-20,0,0,False,0.0,0.0
2006-08-21,23,23,False,0.23,5.29
2006-08-22,66,66,False,0.66,43.56
2006-08-23,100,100,False,1.0,100.0
2006-08-24,45,45,False,0.45,20.25
2006-08-25,36,36,False,0.36,12.959999999999999
2006-08-26,17,17,False,0.17,2.89
2006-08-27,17,17,False,0.17,2.89
2006-08-28,54,54,False,0.54,29.160000000000004
2006-08-29,64,64,False,0.64,40.96
2006-08-30,55,55,False,0.55,30.250000000000004
2006-08-31,22,22,False,0.22,4.84
2006-09-01,23,23,False,0.23,5.29
2006-09-02,22,22,False,0.22,4.84
2006-09-03,0,0,False,0.0,0.0
2006-09-04,10,10,False,0.1,1.0
2006-09-05,76,76,False,0.76,57.76
2006-09-06,34,34,False,0.34,11.56
2006-09-07,21,21,False,0.21,4.41
2006-09-08,52,52,False,0.52,27.04
2006-09-09,10,10,False,0.1,1.0
2006-09-10,0,0,False,0.0,0.0
2006-09-11,34,34,False,0.34,11.56
2006-09-12,7,7,False,0.07,0.49000000000000005
2006-09-13,55,55,False,0.55,30.250000000000004
2006-09-14,27,27,False,0.27,7.290000000000001
2006-09-15,29,29,False,0.29,8.41
2006-09-16,0,0,False,0.0,0.0
2006-09-17,0,0,False,0.0,0.0
2006-09-18,34,34,False,0.34,11.56
2006-09-19,33,33,False,0.33,10.89
2006-09-20,61,61,False,0.61,37.21
2006-09-21,55,55,False,0.55,30.250000000000004
2006-09-22,37,37,False,0.37,13.69
2006-09-23,0,0,False,0.0,0.0
2006-09-24,0,0,False,0.0,0.0
2006-09-25,27,27,False,0.27,7.290000000000001
2006-09-26,100,100,False,1.0,100.0
