date,BANKRUPTCY_unscaled,BANKRUPTCY_monthly,isPartial,scale,BANKRUPTCY
2010-05-06,64,66.0,,0.66,42.24
2010-05-07,75,66.0,,0.66,49.5
2010-05-08,36,66.0,,0.66,23.76
2010-05-09,51,66.0,,0.66,33.660000000000004
2010-05-10,88,66.0,,0.66,58.080000000000005
2010-05-11,86,66.0,,0.66,56.760000000000005
2010-05-12,77,66.0,,0.66,50.82
2010-05-13,74,66.0,,0.66,48.84
2010-05-14,64,66.0,,0.66,42.24
2010-05-15,33,66.0,,0.66,21.78
2010-05-16,44,66.0,,0.66,29.040000000000003
2010-05-17,75,66.0,,0.66,49.5
2010-05-18,89,66.0,,0.66,58.74
2010-05-19,84,66.0,,0.66,55.440000000000005
2010-05-20,89,66.0,,0.66,58.74
2010-05-21,73,66.0,,0.66,48.18
2010-05-22,46,66.0,,0.66,30.360000000000003
2010-05-23,41,66.0,,0.66,27.060000000000002
2010-05-24,100,66.0,,0.66,66.0
2010-05-25,83,66.0,,0.66,54.78
2010-05-26,88,66.0,,0.66,58.080000000000005
2010-05-27,66,66.0,,0.66,43.56
2010-05-28,69,66.0,,0.66,45.54
2010-05-29,40,66.0,,0.66,26.400000000000002
2010-05-30,35,66.0,,0.66,23.1
2010-05-31,35,66.0,,0.66,23.1
2010-06-01,67,74.0,False,0.74,49.58
2010-06-02,76,74.0,,0.74,56.24
2010-06-03,69,74.0,,0.74,51.06
2010-06-04,65,74.0,,0.74,48.1
2010-06-05,38,74.0,,0.74,28.12
2010-06-06,46,74.0,,0.74,34.04
2010-06-07,81,74.0,,0.74,59.94
2010-06-08,100,74.0,,0.74,74.0
2010-06-09,86,74.0,,0.74,63.64
2010-06-10,81,74.0,,0.74,59.94
2010-06-11,70,74.0,,0.74,51.8
2010-06-12,44,74.0,,0.74,32.56
2010-06-13,39,74.0,,0.74,28.86
2010-06-14,70,74.0,,0.74,51.8
2010-06-15,78,74.0,,0.74,57.72
2010-06-16,71,74.0,,0.74,52.54
2010-06-17,72,74.0,,0.74,53.28
2010-06-18,65,74.0,,0.74,48.1
2010-06-19,37,74.0,,0.74,27.38
2010-06-20,32,74.0,,0.74,23.68
2010-06-21,75,74.0,,0.74,55.5
2010-06-22,79,74.0,,0.74,58.46
2010-06-23,74,74.0,,0.74,54.76
2010-06-24,73,74.0,,0.74,54.019999999999996
2010-06-25,61,74.0,,0.74,45.14
2010-06-26,41,74.0,,0.74,30.34
2010-06-27,35,74.0,,0.74,25.9
2010-06-28,85,74.0,,0.74,62.9
2010-06-29,85,74.0,,0.74,62.9
2010-06-30,79,74.0,,0.74,58.46
2010-07-01,91,66.0,False,0.66,60.06
2010-07-02,78,66.0,,0.66,51.480000000000004
2010-07-03,50,66.0,,0.66,33.0
2010-07-04,39,66.0,,0.66,25.740000000000002
2010-07-05,49,66.0,,0.66,32.34
2010-07-06,95,66.0,,0.66,62.7
