date,auction_unscaled,auction_monthly,isPartial,scale,auction
2006-06-15,74,74,False,0.74,54.76
2006-06-16,73,73,False,0.73,53.29
2006-06-17,59,59,False,0.59,34.809999999999995
2006-06-18,77,77,False,0.77,59.29
2006-06-19,68,68,False,0.68,46.24
2006-06-20,63,63,False,0.63,39.69
2006-06-21,73,73,False,0.73,53.29
2006-06-22,82,82,False,0.82,67.24
2006-06-23,63,63,False,0.63,39.69
2006-06-24,100,100,False,1.0,100.0
2006-06-25,68,68,False,0.68,46.24
2006-06-26,69,69,False,0.69,47.61
2006-06-27,67,67,False,0.67,44.89
2006-06-28,67,67,False,0.67,44.89
2006-06-29,79,79,False,0.79,62.410000000000004
2006-06-30,65,65,False,0.65,42.25
2006-07-01,69,69,False,0.69,47.61
2006-07-02,65,65,False,0.65,42.25
2006-07-03,73,73,False,0.73,53.29
2006-07-04,97,97,False,0.97,94.09
2006-07-05,71,71,False,0.71,50.41
2006-07-06,69,69,False,0.69,47.61
2006-07-07,84,84,False,0.84,70.56
2006-07-08,87,87,False,0.87,75.69
2006-07-09,87,87,False,0.87,75.69
2006-07-10,86,86,False,0.86,73.96
2006-07-11,70,70,False,0.7,49.0
2006-07-12,88,88,False,0.88,77.44
2006-07-13,83,83,False,0.83,68.89
2006-07-14,76,76,False,0.76,57.76
2006-07-15,100,100,False,1.0,100.0
2006-07-16,57,57,False,0.57,32.489999999999995
2006-07-17,90,90,False,0.9,81.0
2006-07-18,77,77,False,0.77,59.29
2006-07-19,87,87,False,0.87,75.69
2006-07-20,77,77,False,0.77,59.29
2006-07-21,87,87,False,0.87,75.69
2006-07-22,82,82,False,0.82,67.24
2006-07-23,69,69,False,0.69,47.61
2006-07-24,76,76,False,0.76,57.76
2006-07-25,69,69,False,0.69,47.61
2006-07-26,68,68,False,0.68,46.24
2006-07-27,79,79,False,0.79,62.410000000000004
2006-07-28,85,85,False,0.85,72.25
2006-07-29,79,79,False,0.79,62.410000000000004
2006-07-30,67,67,False,0.67,44.89
2006-07-31,83,83,False,0.83,68.89
2006-08-01,94,94,False,0.94,88.36
2006-08-02,100,100,False,1.0,100.0
2006-08-03,90,90,False,0.9,81.0
2006-08-04,90,90,False,0.9,81.0
2006-08-05,87,87,False,0.87,75.69
2006-08-06,94,94,False,0.94,88.36
2006-08-07,90,90,False,0.9,81.0
2006-08-08,72,72,False,0.72,51.839999999999996
2006-08-09,78,78,False,0.78,60.84
2006-08-10,77,77,False,0.77,59.29
2006-08-11,72,72,False,0.72,51.839999999999996
2006-08-12,78,78,False,0.78,60.84
2006-08-13,81,81,False,0.81,65.61
2006-08-14,81,81,False,0.81,65.61
2006-08-15,80,80,False,0.8,64.0
2006-08-16,98,98,False,0.98,96.03999999999999
2006-08-17,94,94,False,0.94,88.36
2006-08-18,80,80,False,0.8,64.0
2006-08-19,97,97,False,0.97,94.09
2006-08-20,70,70,False,0.7,49.0
2006-08-21,88,88,False,0.88,77.44
2006-08-22,88,88,False,0.88,77.44
2006-08-23,88,88,False,0.88,77.44
2006-08-24,77,77,False,0.77,59.29
2006-08-25,90,90,False,0.9,81.0
2006-08-26,90,90,False,0.9,81.0
2006-08-27,93,93,False,0.93,86.49000000000001
2006-08-28,71,71,False,0.71,50.41
2006-08-29,80,80,False,0.8,64.0
2006-08-30,64,64,False,0.64,40.96
2006-08-31,76,76,False,0.76,57.76
2006-09-01,74,74,False,0.74,54.76
2006-09-02,87,87,False,0.87,75.69
2006-09-03,85,85,False,0.85,72.25
2006-09-04,96,96,False,0.96,92.16
2006-09-05,71,71,False,0.71,50.41
2006-09-06,69,69,False,0.69,47.61
2006-09-07,75,75,False,0.75,56.25
2006-09-08,70,70,False,0.7,49.0
2006-09-09,87,87,False,0.87,75.69
2006-09-10,69,69,False,0.69,47.61
2006-09-11,80,80,False,0.8,64.0
2006-09-12,79,79,False,0.79,62.410000000000004
2006-09-13,73,73,False,0.73,53.29
2006-09-14,72,72,False,0.72,51.839999999999996
2006-09-15,67,67,False,0.67,44.89
2006-09-16,78,78,False,0.78,60.84
2006-09-17,80,80,False,0.8,64.0
2006-09-18,74,74,False,0.74,54.76
2006-09-19,73,73,False,0.73,53.29
2006-09-20,65,65,False,0.65,42.25
2006-09-21,71,71,False,0.71,50.41
2006-09-22,82,82,False,0.82,67.24
2006-09-23,100,100,False,1.0,100.0
2006-09-24,76,76,False,0.76,57.76
