date,equity bank_unscaled,equity bank_monthly,isPartial,scale,equity bank
2014-11-06,60,53.0,,0.53,31.8
2014-11-07,70,53.0,,0.53,37.1
2014-11-08,26,53.0,,0.53,13.780000000000001
2014-11-09,34,53.0,,0.53,18.02
2014-11-10,74,53.0,,0.53,39.22
2014-11-11,34,53.0,,0.53,18.02
2014-11-12,54,53.0,,0.53,28.62
2014-11-13,100,53.0,,0.53,53.0
2014-11-14,48,53.0,,0.53,25.44
2014-11-15,76,53.0,,0.53,40.28
2014-11-16,25,53.0,,0.53,13.25
2014-11-17,86,53.0,,0.53,45.580000000000005
2014-11-18,36,53.0,,0.53,19.080000000000002
2014-11-19,56,53.0,,0.53,29.68
2014-11-20,54,53.0,,0.53,28.62
2014-11-21,34,53.0,,0.53,18.02
2014-11-22,51,53.0,,0.53,27.03
2014-11-23,25,53.0,,0.53,13.25
2014-11-24,20,53.0,,0.53,10.600000000000001
2014-11-25,68,53.0,,0.53,36.04
2014-11-26,44,53.0,,0.53,23.32
2014-11-27,0,53.0,,0.53,0.0
2014-11-28,41,53.0,,0.53,21.73
2014-11-29,26,53.0,,0.53,13.780000000000001
2014-11-30,49,53.0,,0.53,25.970000000000002
2014-12-01,54,49.0,False,0.49,26.46
2014-12-02,62,49.0,,0.49,30.38
2014-12-03,64,49.0,,0.49,31.36
2014-12-04,80,49.0,,0.49,39.2
2014-12-05,41,49.0,,0.49,20.09
2014-12-06,30,49.0,,0.49,14.7
2014-12-07,40,49.0,,0.49,19.6
2014-12-08,79,49.0,,0.49,38.71
2014-12-09,63,49.0,,0.49,30.87
2014-12-10,81,49.0,,0.49,39.69
2014-12-11,58,49.0,,0.49,28.419999999999998
2014-12-12,43,49.0,,0.49,21.07
2014-12-13,43,49.0,,0.49,21.07
2014-12-14,21,49.0,,0.49,10.29
2014-12-15,58,49.0,,0.49,28.419999999999998
2014-12-16,100,49.0,,0.49,49.0
2014-12-17,68,49.0,,0.49,33.32
2014-12-18,70,49.0,,0.49,34.3
2014-12-19,82,49.0,,0.49,40.18
2014-12-20,11,49.0,,0.49,5.39
2014-12-21,11,49.0,,0.49,5.39
2014-12-22,56,49.0,,0.49,27.439999999999998
2014-12-23,29,49.0,,0.49,14.209999999999999
2014-12-24,21,49.0,,0.49,10.29
2014-12-25,12,49.0,,0.49,5.88
2014-12-26,42,49.0,,0.49,20.58
2014-12-27,22,49.0,,0.49,10.78
2014-12-28,21,49.0,,0.49,10.29
2014-12-29,64,49.0,,0.49,31.36
2014-12-30,91,49.0,,0.49,44.589999999999996
2014-12-31,85,49.0,,0.49,41.65
2015-01-01,20,61.0,False,0.61,12.2
2015-01-02,38,61.0,,0.61,23.18
2015-01-03,42,61.0,,0.61,25.62
2015-01-04,29,61.0,,0.61,17.69
2015-01-05,35,61.0,,0.61,21.349999999999998
2015-01-06,58,61.0,,0.61,35.38
2015-01-07,29,61.0,,0.61,17.69
2015-01-08,34,61.0,,0.61,20.74
2015-01-09,50,61.0,,0.61,30.5
2015-01-10,37,61.0,,0.61,22.57
2015-01-11,18,61.0,,0.61,10.98
2015-01-12,58,61.0,,0.61,35.38
